type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
w,,install,WednesdayRecirculationTime,Mittwoch Umlaufzeit,,,b509,0e7c00,ttm,,TTM,,,Mittwoch Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,ThursdayRecirculationTime,Donnerstag Umlaufzeit,,,b509,0d7d00,ttm,,TTM,,,Donnerstag Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,ThursdayRecirculationTime,Donnerstag Umlaufzeit,,,b509,0e7d00,ttm,,TTM,,,Donnerstag Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,FridayRecirculationTime,Freitag Umluftzeit,,,b509,0d7e00,ttm,,TTM,,,Freitag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,FridayRecirculationTime,Freitag Umluftzeit,,,b509,0e7e00,ttm,,TTM,,,Freitag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SaturdayRecirculationTime,Umlaufzeit am Samstag,,,b509,0d7f00,ttm,,TTM,,,Umlaufzeit am Samstag,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,SaturdayRecirculationTime,Umlaufzeit am Samstag,,,b509,0e7f00,ttm,,TTM,,,Umlaufzeit am Samstag,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SundayRecirculationTime,Sonntags-Umlaufzeit,,,b509,0d8000,ttm,,TTM,,,Sonntags-Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,SundayRecirculationTime,Sonntags-Umlaufzeit,,,b509,0e8000,ttm,,TTM,,,Sonntags-Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,MondayRecirculationState,Umluftzustand Montag,,,b509,0d8100,onoff,,UCH,0=off;1=on,,Umluftzustand Montag,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,MondayRecirculationState,Umluftzustand Montag,,,b509,0e8100,onoff,,UCH,0=off;1=on,,Umluftzustand Montag,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,TuesdayRecirculationState,Dienstag Rezirkulationszustand,,,b509,0d8200,onoff,,UCH,0=off;1=on,,Dienstag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,TuesdayRecirculationState,Dienstag Rezirkulationszustand,,,b509,0e8200,onoff,,UCH,0=off;1=on,,Dienstag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,WednesdayRecirculationState,Mittwoch Rezirkulationszustand,,,b509,0d8300,onoff,,UCH,0=off;1=on,,Mittwoch Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,WednesdayRecirculationState,Mittwoch Rezirkulationszustand,,,b509,0e8300,onoff,,UCH,0=off;1=on,,Mittwoch Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,ThursdayRecirculationState,Donnerstag Rezirkulationszustand,,,b509,0d8400,onoff,,UCH,0=off;1=on,,Donnerstag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,ThursdayRecirculationState,Donnerstag Rezirkulationszustand,,,b509,0e8400,onoff,,UCH,0=off;1=on,,Donnerstag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,FridayRecirculationState,Freitag Rezirkulationszustand,,,b509,0d8500,onoff,,UCH,0=off;1=on,,Freitag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,FridayRecirculationState,Freitag Rezirkulationszustand,,,b509,0e8500,onoff,,UCH,0=off;1=on,,Freitag Rezirkulationszustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,SaturdayRecirculationState,Umluftzustand Samstag,,,b509,0d8600,onoff,,UCH,0=off;1=on,,Umluftzustand Samstag,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,SaturdayRecirculationState,Umluftzustand Samstag,,,b509,0e8600,onoff,,UCH,0=off;1=on,,Umluftzustand Samstag,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,SundayRecirculationState,Sonntags-Umlaufzustand,,,b509,0d8700,onoff,,UCH,0=off;1=on,,Sonntags-Umlaufzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,install,SundayRecirculationState,Sonntags-Umlaufzustand,,,b509,0e8700,onoff,,UCH,0=off;1=on,,Sonntags-Umlaufzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,RoomTempMaxAllowed,Max Allowed Room Temp: Max. zulässige Raumtemperatur,,,b509,0d3200,value,,D2C,,°C,Temperatur
w,,install,RoomTempMaxAllowed,Max Allowed Room Temp: Max. zulässige Raumtemperatur,,,b509,0e3200,value,,D2C,,°C,Temperatur
r,,,RoomTempCorr,Room Temp Correction: Korrektur der Raumtemperatur,,,b509,0d3300,value,,D2C,,°C,Temperatur
w,,install,RoomTempCorr,Room Temp Correction: Korrektur der Raumtemperatur,,,b509,0e3300,value,,D2C,,°C,Temperatur
r,,,OutsideTempCorr,Outside Temp Correction: Korrektur der Außentemperatur,,,b509,0d3600,value,,D2C,,°C,Temperatur
w,,install,OutsideTempCorr,Outside Temp Correction: Korrektur der Außentemperatur,,,b509,0e3600,value,,D2C,,°C,Temperatur
r,,,RoomTempCorrFact,Room Temp Factory Correction: Raumtemperaturkorrektur (werkseitig kalibriert),,,b509,0d3900,value,,D2C,,°C,Temperatur
w,,install,RoomTempCorrFact,Room Temp Factory Correction: Raumtemperaturkorrektur (werkseitig kalibriert),,,b509,0e3900,value,,D2C,,°C,Temperatur
r,,,HeatCurve,Heat Curve,,,b509,0d5c00,value,,UIN,100,,Wärmekurve
w,,install,HeatCurve,Heat Curve,,,b509,0e5c00,value,,UIN,100,,Wärmekurve
r,,,DHWTempMaxAllowed,Max Allowed DHW Temp: Max. zulässige Warmwassertemperatur,,,b509,0d5e00,value,,D2C,,°C,Temperatur
w,,install,DHWTempMaxAllowed,Max Allowed DHW Temp: Max. zulässige Warmwassertemperatur,,,b509,0e5e00,value,,D2C,,°C,Temperatur
r,,,DHWScheduleOptEnable,DHWScheduleOptEnable: WW-Zeitplan-Otp-Aktivierung,,,b509,0d5f00,value,,UCH,0=off;1=on,,
w,,install,DHWScheduleOptEnable,DHWScheduleOptEnable: WW-Zeitplan-Otp-Aktivierung,,,b509,0e5f00,value,,UCH,0=off;1=on,,
r,,,DHWOptEnable,DHW Option Enable: WW-Option aktivieren,,,b509,0d6000,value,,UCH,0=off;1=on,,
w,,install,DHWOptEnable,DHW Option Enable: WW-Option aktivieren,,,b509,0e6000,value,,UCH,0=off;1=on,,
r,,,AutoTimeCorr,Auto Time Correction: Automatische Zeitkorrektur,,,b509,0d7200,value,,UCH,0=off;1=on,,
w,,install,AutoTimeCorr,Auto Time Correction: Automatische Zeitkorrektur,,,b509,0e7200,value,,UCH,0=off;1=on,,
r,,,PrevHeatCurve,Prev Heat Curve,,,b509,0d7500,value,,UIN,100,,Vorherige Heizkurveneinstellung
r,,,MaintenanceAlarm,Maintenance Alarm: Wartungsalarm,,,b509,0d6f00,value,,UCH,0=off;1=on,,
w,,install,MaintenanceAlarm,Maintenance Alarm: Wartungsalarm,,,b509,0e6f00,value,,UCH,0=off;1=on,,
r,,,MaintenanceAlarmDate,Maintenance Alarm Date: Wartungsalarmdatum,,,b509,0d7000,value,,ULG,,,
w,,install,MaintenanceAlarmDate,Maintenance Alarm Date: Wartungsalarmdatum,,,b509,0e7000,value,,ULG,,,
r,,,AutoHeatCurveRegulation,Auto Heat Curve Regulation: Automatische Heizkurvenregelung,,,b509,0d6e00,value,,UCH,0=off;1=on,,
w,,install,AutoHeatCurveRegulation,Auto Heat Curve Regulation: Automatische Heizkurvenregelung,,,b509,0e6e00,value,,UCH,0=off;1=on,,
r,,,Preheat,Preheat: vorheizen,,,b509,0d6c00,value,,UCH,0=off;1=on,,
w,,install,Preheat,Preheat: vorheizen,,,b509,0e6c00,value,,UCH,0=off;1=on,,
r,,,RecirculationOptEnable,Recirculation Option Enable: Umluftoption aktivieren,,,b509,0d6d00,value,,UCH,0=off;1=on,,
w,,install,RecirculationOptEnable,Recirculation Option Enable: Umluftoption aktivieren,,,b509,0e6d00,value,,UCH,0=off;1=on,,
r,,,MaintenanceTel,Wartungstelefon,,,b509,0d6100,value,,STR:13,,,Wartungstelefon
w,,install,MaintenanceTel,Wartungstelefon,,,b509,0e6100,value,,STR:13,,,Wartungstelefon
r,,,RoomTempOptEnable,Room Temp Option Enable: Option Raumtemperatur aktivieren,,,b509,0d6b00,value,,UCH,0=off;1=on,,
w,,install,RoomTempOptEnable,Room Temp Option Enable: Option Raumtemperatur aktivieren,,,b509,0e6b00,value,,UCH,0=off;1=on,,
r,,,Currenterror,Aktuelle Fehler,,,b503,0001,error,,UIN,,,Fehlernummer,error_1,,UIN,,,Fehlernummer,error_2,,UIN,,,Fehlernummer,error_3,,UIN,,,Fehlernummer,error_4,,UIN,,,Fehlernummer
r,,,Errorhistory,Fehlerhistorie,,,b503,0101,index,m,UCH,,,,status,,UCH,,,Status,time,,BTM,,,Uhrzeit,date,,HDA:3,,,Datum,error,,UIN,,,Fehlernummer
w,,install,Clearerrorhistory,Fehlerhistorie löschen,,,b503,0201,cleared,s,UCH,0=no;1=yes,,
