type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,FridayHeatingTemp,Friday Heating Temp,,,b509,0d1000,temp,,D2C,,°C,Heiztemperaturen am Freitag,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,FridayHeatingTemp,Friday Heating Temp,,,b509,0e1000,temp,,D2C,,°C,Heiztemperaturen am Freitag,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,SaturdayHeatingTemp,Saturday Heating Temp,,,b509,0d1100,temp,,D2C,,°C,Heiztemperaturen am Samstag,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,SaturdayHeatingTemp,Saturday Heating Temp,,,b509,0e1100,temp,,D2C,,°C,Heiztemperaturen am Samstag,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,SundayHeatingTemp,Sunday Heating Temp,,,b509,0d1200,temp,,D2C,,°C,Sonntag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,SundayHeatingTemp,Sunday Heating Temp,,,b509,0e1200,temp,,D2C,,°C,Sonntag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,MondayDHWTime,Montag Warmwasserzeit,,,b509,0d4300,ttm,,TTM,,,Montag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,MondayDHWTime,Montag Warmwasserzeit,,,b509,0e4300,ttm,,TTM,,,Montag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,TuesdayDHWTime,Dienstag Warmwasserzeit,,,b509,0d4400,ttm,,TTM,,,Dienstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,TuesdayDHWTime,Dienstag Warmwasserzeit,,,b509,0e4400,ttm,,TTM,,,Dienstag Warmwasserzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
