type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
r,,,HpMode,,,,0621,02b50040,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,status,,UCH,0=off;1=heat;2=preload_heat;3=extern_off;4=cool;5=preload_cool;6=preload_defrost;7=defrost;8=error;9=drain;10=dT_monitor;11=preheat_defrost;12=defrost_1;13=defrost_2;14=defrost_3;15=alarm;16=error_1;17=blocked;21=tWVmax_shutdown;22=tWVdesired_shutdown;23=tWEmax_shutdown;24=tWAmin_shutdown;25=tKAmin_shutdown;26=bivalence_shutdown;27=hotwater_charge_lock;28=minimal_offtime;29=minimal_ontime,,heat pump status
r,,,HpStatus,,,,0621,7d800002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,status,,UCH,,,
r,,,HpFlowTemp,,,,0621,7d810002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,temp,,SIN,10,°C,Temperatur
r,,,DesiredHpFlow,,,,0621,7d820002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,temp,,SIN,10,°C,Temperatur
r,,,HpReturnTemp,,,,0621,7d830002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,temp,,SIN,10,°C,Temperatur
r,,,HpSourceTempIn,,,,0621,7d840002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,temp,,SIN,10,°C,Temperatur
r,,,HpSourceTempOut,,,,0621,7d850002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,temp,,SIN,10,°C,Temperatur
r,,,HpCycles,,,,0621,7d860002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,cycles,,HCD,100,,
r,,,HpHours,,,,0621,7d870002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,hours,,HCD,,h,
r,,,HpVolume1,,,,0621,7d880002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,volume,,UIN,10,,
r,,,HpVolume2,,,,0621,7d890002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,volume,,UIN,10,,
r,,,HpHeatKwh,,,,0621,7d8a0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,kwh,,UIN,10,kWh,
r,,,HpHeatMwh,,,,0621,7d8b0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,mwh,,UIN,,MWh,
r,,,HpCoolKwh,,,,0621,7d8c0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,kwh,,UIN,10,kWh,
r,,,HpCoolMwh,,,,0621,7d8d0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,mwh,,UIN,,MWh,
r,,,HpWaterKwh,,,,0621,7d8e0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,kwh,,UIN,10,kWh,
r,,,HpWaterMwh,,,,0621,7d8f0002,group,,UCH,,,,value,,BI0:7,,,,type,,HEX,,,data type,unit,,HEX,,,,max,,SIN,,,maximaler Wert,min,,SIN,,,minimaler Wert,mwh,,UIN,,MWh,
